Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Annual_Income,Credit_Score,Number_of_Credit_Lines,Credit_Utilization_Ratio,Debt_To_Income_Ratio,Number_of_Late_Payments,sss,Total_Transactions_Last_Year,Total_Spend_Last_Year,Defaulted,CLV,Total_Transactions,Avg_Transaction_Amount,Max_Transaction_Amount,Min_Transaction_Amount,Fraud_Transactions,Unique_Merchant_Categories,Unique_Transaction_Cities,,
CUST_00001,59,Male,Married,PhD,Unemployed,41442,642,4,0.44,0.4,2,22,166,13997,0,57310,22,454.3372727272727,1379.89,11.83,0,10,13,,
CUST_00002,49,Male,Divorced,High School,Unemployed,85992,665,7,0.52,0.29,0,25,10,27768,0,124494,22,378.365,1939.47,7,1,8,13,,
CUST_00003,35,Male,Married,Bachelor,Employed,58420,683,8,0.88,0.2,2,9,177,17979,1,46180,10,437.929,1712.14,1.92,0,7,9,,
CUST_00004,63,Male,Single,Bachelor,Employed,59733,674,7,0.4,0.55,1,10,21,13261,1,35120,23,540.4639130434782,2095.41,16.57,0,9,15,,
CUST_00005,28,Female,Married,Master,Employed,69487,733,5,0.88,0.77,1,4,80,23562,1,24310,16,520.64375,2068.37,28.06,1,8,12,,
CUST_00006,41,Male,Single,Master,Employed,76064,718,1,0.32,0.94,1,20,145,14923,0,65713,20,494.495,1922.12,8.11,0,8,15,,
CUST_00007,59,Male,Married,PhD,Employed,52142,611,6,0.94,0.3,3,27,16,18385,1,46155,22,421.24954545454545,967.85,45.79,0,7,12,,
CUST_00008,39,Female,Single,Bachelor,Employed,70381,759,8,0.04,0.7,1,21,94,27380,0,135454,22,621.9527272727273,1908.42,46.98,0,9,14,,
CUST_00009,43,Female,Married,Master,Self-employed,71275,659,6,0.53,0.79,0,3,195,14114,0,33701,11,460.49090909090916,1401.91,30.08,1,6,6,,
CUST_00010,31,Female,Single,High School,Employed,82008,670,8,0.32,0.48,2,7,118,26166,0,26452,17,474.17529411764707,1444.21,57.28,0,9,12,,
CUST_00011,31,Male,Single,Bachelor,Unemployed,52966,697,6,0.29,0.92,1,7,100,19404,0,36278,22,365.71181818181816,1142.24,43.64,0,8,17,,
CUST_00012,44,Female,Married,Master,Employed,71283,602,2,0.08,0.02,1,19,178,18518,0,58687,25,496.55120000000005,1354.63,21.17,0,10,13,,
CUST_00013,56,Male,Single,Bachelor,Employed,68563,737,6,0.68,0.9,1,29,159,23107,0,96962,19,432.6947368421053,1430.36,5.38,0,8,12,,
CUST_00014,60,Female,Married,Master,Employed,66403,667,9,0.39,0.89,0,0,94,18710,0,20444,24,460.50624999999997,1779.7,29.17,2,10,15,,
CUST_00015,44,Male,Divorced,Bachelor,Unemployed,26827,721,2,0.95,0.14,0,12,131,9630,0,10162,21,596.6685714285713,2581.52,38.66,0,9,12,,
CUST_00016,23,Female,Single,Bachelor,Unemployed,78856,648,3,0.71,0.44,2,7,28,28742,1,59804,15,425.272,1275.21,47.05,0,7,12,,
CUST_00017,42,Male,Single,Bachelor,Employed,75592,609,9,0.44,0.52,2,21,111,22217,0,38237,26,528.1088461538461,1533.36,0.2,0,8,15,,
CUST_00018,22,Female,Divorced,Bachelor,Employed,69899,685,7,0.63,0.4,2,19,43,12407,1,36500,20,574.641,2293.39,61.22,0,9,14,,
CUST_00019,44,Female,Married,High School,Employed,50865,606,1,0.07,0.9,2,10,56,14433,0,66289,20,488.486,2054.63,6.46,0,10,13,,
CUST_00020,64,Male,Divorced,High School,Employed,84716,633,4,0.59,0.71,0,2,76,15938,1,30768,19,427.7963157894737,1346.54,53.13,0,9,11,,
CUST_00021,50,Male,Single,Master,Employed,59130,526,4,0.67,0.12,0,0,77,6303,0,15502,17,558.8000000000001,2581.17,10.57,0,8,10,,
CUST_00022,58,Female,Single,PhD,Employed,67297,724,5,0.11,0.93,3,4,181,26765,0,104235,19,575.8236842105263,2145.3,15.51,0,9,14,,
CUST_00023,22,Female,Single,High School,Employed,42822,630,7,0.68,0.05,2,17,101,9968,1,31980,22,508.6881818181819,1985.93,12.45,0,8,14,,
CUST_00024,41,Female,Single,Bachelor,Employed,55294,640,5,0.47,0.6,1,9,113,13161,1,22850,20,484.7075,1864.91,10.05,2,7,14,,
CUST_00025,53,Male,Married,Bachelor,Employed,61013,658,6,0.48,0.52,2,4,67,16126,0,34185,17,445.9205882352941,1859.3,69.18,0,9,12,,
CUST_00026,32,Male,Single,Bachelor,Employed,46787,683,9,0.72,0.07,2,17,131,15298,1,62228,19,625.2236842105264,2359.6,0.83,0,8,13,,
CUST_00027,42,Female,Married,Bachelor,Employed,50106,592,2,0.45,0.7,1,28,120,16395,0,23837,25,540.63,2700.19,6.78,0,8,15,,
CUST_00028,64,Female,Single,Bachelor,Self-employed,68038,583,6,0.23,0.96,2,26,179,18090,0,20995,27,595.742963,2594.9,3.14,0,9,15,,
CUST_00029,45,Female,Married,Bachelor,Employed,75688,711,6,0.3,0.46,1,23,175,26029,0,110416,19,414.6226315789474,1247.04,43.37,0,8,12,,
CUST_00030,69,Female,Single,Master,Self-employed,38151,629,1,0.74,0.51,2,8,187,6241,0,7277,20,462.23699999999997,3079.78,21.08,0,8,13,,
CUST_00031,47,Female,Single,Bachelor,Employed,94441,672,6,0.07,0.38,1,2,58,33493,0,70151,20,593.1890000000001,2064.09,32.51,1,9,12,,
CUST_00032,62,Female,Married,Bachelor,Employed,47024,631,7,0.84,0.88,0,19,20,6370,0,21128,23,643.3586956521739,2799.54,22.02,1,9,12,,
CUST_00033,48,Male,Single,Bachelor,Self-employed,44469,688,7,0.58,0.93,2,11,193,13198,1,14287,18,526.3844444444444,1455.93,23.38,0,8,13,,
CUST_00034,36,Male,Married,Bachelor,Employed,82958,630,3,0.73,0.4,1,13,128,8537,1,39234,17,600.2411764705882,1955.28,5.96,0,8,11,,
CUST_00035,35,Female,Married,Bachelor,Employed,70340,665,8,0.34,0.89,0,0,138,27897,1,130148,17,384.42117647058825,1977.82,2.29,0,6,12,,
CUST_00036,67,Male,Married,Bachelor,Employed,74577,681,7,0.22,0.2,0,0,77,21873,0,55844,10,463.174,1748.41,2.06,0,6,9,,
CUST_00037,64,Male,Married,Bachelor,Unemployed,47333,664,4,0.8,0.46,2,0,55,17777,0,77853,15,582.7546666666666,1710.4,47.99,0,9,10,,
CUST_00038,23,Male,Married,Bachelor,Unemployed,66777,672,4,0.1,0.25,2,14,187,18013,0,19517,15,522.5986666666666,2664.24,27.86,0,8,10,,
CUST_00039,57,Male,Divorced,Bachelor,Unemployed,98344,648,7,0.17,0.22,0,23,41,39177,0,58109,25,509.41839999999996,2638.33,11.2,1,10,17,,
CUST_00040,27,Female,Divorced,Bachelor,Self-employed,47198,580,2,0.28,0.86,1,26,14,12322,0,22442,19,313.6594736842105,1431.45,18.31,0,9,14,,
CUST_00041,41,Female,Married,Master,Employed,70976,572,5,0.35,0.71,2,0,198,16031,1,33342,21,620.8047619047619,2090.78,1.24,0,9,13,,
CUST_00042,29,Male,Married,Bachelor,Employed,48384,590,6,0.2,0.07,1,2,141,15821,0,54476,10,341.163,1650.34,46.16,0,7,8,,
CUST_00043,59,Male,Married,Bachelor,Self-employed,44332,614,4,0.91,0.76,1,29,58,5819,1,28398,14,500.31,1545.45,86.03,0,8,10,,
CUST_00044,38,Female,Single,Master,Self-employed,56275,697,1,0.03,0.57,1,21,52,10024,0,16298,19,578.9447368421053,4081.71,11.58,0,9,12,,
CUST_00045,24,Male,Divorced,High School,Employed,59540,548,1,0.8,0.79,0,11,185,16009,1,70145,22,606.2004545454546,1980.57,24.58,0,10,11,,
CUST_00046,45,Female,Married,High School,Self-employed,57465,673,3,0.41,0.59,1,1,24,12728,1,51797,18,609.9777777777778,1711.47,70.33,0,7,9,,
CUST_00047,34,Female,Single,Bachelor,Employed,58919,618,9,0.84,0.38,0,9,145,14546,1,36682,19,501.7647368421053,2243.6,20.76,1,8,9,,
CUST_00048,29,Male,Single,High School,Employed,93025,674,2,0.8,0.49,2,26,170,33125,1,108504,20,537.413,2142.41,26.15,0,9,13,,
CUST_00049,46,Female,Single,Bachelor,Employed,85616,728,5,0.12,0.14,1,3,123,13597,0,32807,16,473.2375,1635.27,46.63,0,7,13,,
CUST_00050,22,Female,Single,High School,Employed,62619,659,7,0.67,0.31,1,5,157,8365,0,16493,22,565.235,1947.36,28.9,1,9,14,,
CUST_00051,40,Male,Single,Master,Self-employed,61434,695,2,0.38,0.02,1,28,72,14765,0,22624,22,658.1109091,2642.45,14.91,2,10,13,,
CUST_00052,48,Female,Married,Bachelor,Unemployed,81775,616,1,0.82,0.41,2,7,82,13539,0,49266,13,465.11461538461543,1425.38,36.66,0,5,10,,
CUST_00053,67,Male,Single,Bachelor,Employed,71032,620,7,0.85,0.09,0,28,53,7491,1,12915,27,572.3211111111111,1489.56,19.12,0,10,14,,
CUST_00054,27,Male,Married,Bachelor,Self-employed,63996,707,5,0.19,0.66,0,13,25,20147,1,90028,15,454.06066666666663,985.77,75.73,0,7,10,,
CUST_00055,64,Female,Single,Bachelor,Employed,93697,755,7,0.48,0.91,1,29,150,21416,1,72556,19,415.7442105263158,1248.93,31.56,0,8,14,,
